Id,Year,Track,Artist,Time,Genre
90,2000,Girls Dem Sugar,Beenie Man,4:17,Reggae
91,2000,Give Me Just One Night (Una Noche),98�,3:24,Rock
92,2000,Give Me You,"Blige, Mary J.",5:00,Rock
93,2000,Go On,"Strait, George",3:48,Country
94,2000,Goodbye Earl,"Dixie Chicks, The",4:19,Country
95,2000,Got Beef,"Eastsidaz, The",3:58,Rap
96,2000,Got It All,Eve,3:48,Rap
97,2000,Got To Get It,Sisqo,3:52,Rock
98,2000,Gotta Tell You,"Mumba, Samantha",3:19,Rock
99,2000,Graduation (Friends Forever),Vitamin C,4:23,Rock
100,2000,Hanginaround,Counting Crows,4:07,Rock
101,2000,He Can't Love U,Jagged Edge,3:30,Rock
102,2000,He Loves U Not,Dream,3:43,Rock
103,2000,He Wasn't Man Enough,"Braxton, Toni",4:21,Rock
104,2000,Hey Papi,Jay-Z,3:40,Rap
105,2000,Higher,Creed,5:16,Rock
106,2000,Hot Boyz,"Elliott, Missy Misdemeanor",3:51,Rap
107,2000,How Do You Like Me Now?!,"Keith, Toby",3:29,Country
108,2000,How Many Licks?,Lil' Kim,3:50,Rap
109,2000,I Belong To You,"Kravitz, Lenny",4:17,Rock
110,2000,I Disappear,Metallica,4:26,Rock
111,2000,I Don't Wanna,Aaliyah,4:15,Rock
112,2000,I Don't Wanna Kiss You Goodnight,LFO,5:00,Rock
113,2000,I Just Wanna Love U (Give It 2 Me),Jay-Z,3:50,Rap
114,2000,I Knew I Loved You,Savage Garden,4:07,Rock
115,2000,I Know,Tuesday,4:06,Rock
116,2000,I Learned From The Best,"Houston, Whitney",4:18,Rock
117,2000,I Like It,Sammie,4:09,Rock
118,2000,I Lost It,"Chesney, Kenny",3:54,Country
119,2000,I Need A Hot Girl,Hot Boys,4:16,Rap
120,2000,I Need You,"Rimes, LeAnn",3:42,Country
121,2000,I Think God Can Explain,Splender,3:55,R&B
122,2000,I Think I'm In Love With You,"Simpson, Jessica",3:32,Pop
123,2000,I Try,"Gray, Macy",3:52,Rock
124,2000,I Turn To You,"Aguilera, Christina",4:00,Rock
125,2000,I Wanna Be With You,"Moore, Mandy",4:12,Pop
126,2000,I Wanna Know,Joe,4:57,Rock
127,2000,I Will Love Again,"Fabian, Lara",3:43,Pop
128,2000,I Will.. But,SheDaisy,3:40,Country
129,2000,I Wish,"Thomas, Carl",3:50,Rock
130,2000,I'll Be,"McEntire, Reba",4:23,Country
131,2000,I'm Outta Love,Anastacia,4:01,Pop
132,2000,If I Am,Nine Days,4:18,Rock
133,2000,If You Don't Wanna Love Me,Tamar,4:02,Rock
134,2000,Imagine That,LL Cool J,4:00,Rap
135,2000,Incomplete,Sisqo,3:52,Rock
136,2000,Independent Women Part I,Destiny's Child,3:38,Rock
137,2000,It Feels So Good,Sonique,3:48,Rock
138,2000,It Must Be Love,"Jackson, Alan",2:53,Country
139,2000,It Was,"Wright, Chely",3:51,R&B
140,2000,It's Always Somethin',"Diffie, Joe",2:55,Country
141,2000,It's Gonna Be Me,N'Sync,3:10,Rock
142,2000,It's My Life,Bon Jovi,3:44,Rock
143,2000,It's So Hard,Big Punisher,3:25,Rap
144,2000,Jumpin' Jumpin',Destiny's Child,3:48,Rock
145,2000,Just Another Day In Paradise,"Vassar, Phil",3:54,Country
146,2000,Just Be A Man About It,"Braxton, Toni",4:10,Rock
147,2000,Just Friends (Sunny),Musiq,4:02,Rap
148,2000,Kernkraft 400,Zombie Nation,3:30,Rock
149,2000,Kiss This,"Tippin, Aaron",2:53,Country
150,2000,Kryptonite,3 Doors Down,3:53,Rock
151,2000,L.A. Song,"Hart, Beth",3:47,Country
152,2000,Last Resort,Papa Roach,3:19,Rock
153,2000,Learn To Fly,Foo Fighters,3:55,Rock
154,2000,Left & Right,D'Angelo,4:35,R&B
155,2000,"Left, Right, Left",Drama,3:37,Rap
156,2000,Lessons Learned,"Lawrence, Tracy",2:55,Country
157,2000,Let's Get Married,Jagged Edge,4:23,Rock
158,2000,Let's Make Love,"Hill, Faith",4:11,Rap
159,2000,Liar,Profyle,3:57,R&B
160,2000,"Live, Laugh, Love","Walker, Clay",4:06,Country
161,2000,Loser,3 Doors Down,4:24,Rock
162,2000,Love Is Blind,Eve,3:51,Rap
163,2000,Love Sets You Free,"Price, Kelly",3:46,Rock
164,2000,Love's The Only House,"McBride, Martina",5:13,Country
165,2000,Lucky,"Spears, Britney",3:23,Rock
166,2000,"Maria, Maria",Santana,4:18,Rock
167,2000,Me Neither,"Paisley, Brad",3:19,Country
168,2000,Meanwhile Back At The Ranch,Clark Family Experience,2:56,Country
169,2000,Meet Virginia,Train,3:55,Rock
170,2000,Mirror Mirror,M2M,3:19,Pop
171,2000,Monica,Before Dark,4:04,Rock
172,2000,More,"Adkins, Trace",3:05,Country
173,2000,Most Girls,Pink,4:06,Rock
174,2000,Mr. Too Damn Good,"Levert, Gerald",4:06,R&B
175,2000,Music,Madonna,3:45,Rock
176,2000,My Baby You,"Anthony, Marc",3:59,Latin
177,2000,My Best Friend,"McGraw, Tim",4:33,Country
178,2000,My First Love,Avant,4:28,Rock
179,2000,My Love Goes On And On,"Cagle, Chris",3:02,Country
180,2000,My Love Is Your Love,"Houston, Whitney",4:16,Rock
181,2000,My Next Thirty Years,"McGraw, Tim",3:37,Country
182,2000,N 2 Gether Now,Limp Bizkit,3:55,Rock
183,2000,Never Let You Go,Third Eye Blind,3:57,Rock
184,2000,No Leaf Clover (Live),Metallica,5:43,Rock
185,2000,No Matter What They Say,Lil' Kim,4:12,Rap
186,2000,No Me Dejes De Querer,"Estefan, Gloria",3:25,Rock
187,2000,No Mercy,"Herndon, Ty",4:43,Country
188,2000,No More,Ruff Endz,3:56,Rock
189,2000,No More Rain (In This Cloud),"Stone, Angie",4:42,R&B
190,2000,None Of Ur Friends Business,Ginuwine,4:12,Rock
191,2000,Nothing As It Seems,Pearl Jam,5:20,Rock
192,2000,One Night Stand,J-Shin,4:34,R&B
193,2000,One Voice,"Gilman, Billy",4:07,Country
194,2000,Only God Knows Why,Kid Rock,5:27,Rock
195,2000,Oops!.. I Did It Again,"Spears, Britney",3:30,Rock
196,2000,Open My Heart,"Adams, Yolanda",5:30,Gospel
197,2000,Original Prankster,"Offspring, The",3:42,Rock
198,2000,Otherside,Red Hot Chili Peppers,4:13,Rock
199,2000,Party Up (Up In Here),DMX,3:45,Rap
200,2000,Pinch Me,Barenaked Ladies,3:46,Rock
201,2000,Pop A Top,"Jackson, Alan",3:04,Country
202,2000,Pop Ya Collar,Usher,3:36,Rock
203,2000,Prayin' For Daylight,Rascal Flatts,3:36,Country
204,2000,Private Emotion,"Martin, Ricky",4:02,Latin
205,2000,Pull Over,Trina,2:58,Rap
206,2000,Put Your Hand In Mine,"Byrd, Tracy",4:30,Country
207,2000,Re-Arranged,Limp Bizkit,4:08,Rock
208,2000,Real Live Woman,"Yearwood, Trisha",3:55,Country
209,2000,Rhythm Divine,"Iglesias, Enrique",7:35,Latin
210,2000,Riddle,En Vogue,5:10,Rock
211,2000,Rollin',Limp Bizkit,4:04,Rock
212,2000,"Ryde or Die, Chick",Lox,3:56,Rap
213,2000,"Same Script, Different Cast","Houston, Whitney",4:45,Rock
214,2000,Say My Name,Destiny's Child,4:31,Rock
215,2000,Separated,Avant,4:13,Rock
216,2000,Sexual (Li Da Di),Amber,4:38,Rock
217,2000,Shackles (Praise You),Mary Mary,3:12,Rock
218,2000,Shake Ya Ass,Mystikal,4:46,Rap
219,2000,Shake Your Bon-Bon,"Martin, Ricky",3:08,Latin
220,2000,Shape Of My Heart,"Backstreet Boys, The",3:49,Rock
221,2000,She Bangs,"Martin, Ricky",4:02,Latin
222,2000,She's More,"Griggs, Andy",3:19,Country
223,2000,Show Me The Meaning Of Being Lonely,"Backstreet Boys, The",3:54,Rock
224,2000,Shut Up,Trick Daddy,4:17,Rap
225,2000,Simple Kind Of Life,No Doubt,4:11,Rock
226,2000,Sleepwalker,"Wallflowers, The",3:29,Rock
227,2000,Smile,Lonestar,3:33,Country
228,2000,Smoke Rings In The Dark,"Allan, Gary",4:18,Country
229,2000,Some Things Never Change,"McGraw, Tim",3:56,Country
230,2000,Someday Out Of The Blue,"John, Elton",4:41,Rock
231,2000,Souljas,Master P,3:33,Rap
232,2000,Sour Girl,Stone Temple Pilots,4:16,Rock
233,2000,Spanish Guitar,"Braxton, Toni",4:24,Rock
234,2000,Stan,Eminem,5:26,Rap
235,2000,Stay Or Let It Go,"McKnight, Brian",4:32,Rock
236,2000,Stay The Night,IMx,3:37,Rap
237,2000,Still In My Heart,"Spencer, Tracie",4:11,Rock
238,2000,Straight Up,"Moore, Chante",3:40,Rock
239,2000,Summer Rain,"Thomas, Carl",4:57,Rock
240,2000,Swear It Again,Westlife,4:07,Rock
241,2000,Ta Da,Lil' Mo,4:17,Rap
242,2000,Take A Picture,Filter,4:23,Rock
243,2000,Take That,"Carter, Torrey",3:43,Rock
244,2000,Taking You Home,"Henley, Don",4:08,Rock
245,2000,Tha Block Is Hot,Lil Wayne,4:13,Rap
246,2000,Thank God I Found You,"Carey, Mariah",4:14,Rock
247,2000,That Other Woman,Changing Faces,4:00,Rock
248,2000,That's The Kind Of Mood I'm In,"Loveless, Patty",3:27,Country
249,2000,That's The Way,"Messina, Jo Dee",3:17,Country
250,2000,That's The Way It Is,"Dion, Celine",4:03,Rock
251,2000,That's What I'm Looking For,Da Brat,3:44,Rap
252,2000,The Bad Touch,Bloodhound Gang,4:20,R&B
253,2000,The Best Day,"Strait, George",3:24,Country
254,2000,The Best Man I Can Be,Ginuwine,4:06,Rock
255,2000,The Best Of Me,Mya,4:12,Rock
256,2000,The Chain Of Love,"Walker, Clay",5:03,Country
257,2000,The Great Beyond,R.E.M.,4:10,Rock
258,2000,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Ge+her,3:15,R&B
259,2000,The Itch,Vitamin C,3:30,Rock
260,2000,The Light,Common,3:55,Rap
261,2000,The Little Girl,"Montgomery, John Michael",3:52,Country
262,2000,The Next Episode,Dr. Dre,2:38,Rap
263,2000,The One,"Backstreet Boys, The",3:46,Rock
264,2000,The Quittin' Kind,"Diffie, Joe",3:23,Country
265,2000,The Real Slim Shady,Eminem,4:42,Rap
266,2000,The Rockafeller Skank,Fatboy Slim,4:00,Electronica
267,2000,The Way I Am,Eminem,4:40,Rap
268,2000,Then The Morning Comes,Smash Mouth,3:04,Rock
269,2000,There U Go,Pink,3:23,Rock
270,2000,There You Are,"McBride, Martina",3:26,Country
271,2000,This I Promise You,N'Sync,4:23,Rock
272,2000,This Time Around,Hanson,4:14,Country
273,2000,This Woman Needs,SheDaisy,3:20,Country
274,2000,Thong Song,Sisqo,4:05,Rock
275,2000,Toca's Miracle,Fragma,3:22,R&B
276,2000,Treat Her Like A Lady,Joe,4:12,Rock
277,2000,Tricky Tricky ,"Bega, Lou",3:23,Rock
278,2000,Try Again,Aaliyah,4:03,Rock
279,2000,U Don't Love Me,Kumbia Kings,3:50,R&B
280,2000,U Understand,Juvenile,3:51,Rap
281,2000,Unconditional,"Davidson, Clay",3:56,Country
282,2000,Untitled (How Does It Feel),D'Angelo,7:10,R&B
283,2000,We Danced,"Paisley, Brad",3:45,Country
284,2000,West Side Story,LFO,3:27,Rock
285,2000,What A Girl Wants,"Aguilera, Christina",3:18,Rock
286,2000,What About Now,Lonestar,3:30,Country
287,2000,What Do You Say,"McEntire, Reba",3:26,Country
288,2000,What I Need To Do,"Chesney, Kenny",4:05,Country
289,2000,What Means The World To You,Cam'ron,4:38,Rap
290,2000,What You Want,DMX,4:05,Rap
291,2000,What'Chu Like,Da Brat,3:57,Rap
292,2000,What's My Name,DMX,3:50,Rap
293,2000,What's Your Fantasy,Ludacris,4:16,Rap
294,2000,Whatever,Ideal,3:48,R&B
295,2000,When You Need My Love,"Worley, Darryl",3:35,Country
296,2000,Where I Wanna Be,"Jones, Donell",6:22,Rock
297,2000,Where I Wanna Be,"Sheist, Shade",4:16,Rap
298,2000,Where You Are,"Simpson, Jessica",3:51,Rock
299,2000,Whistle While You Twurk,Ying Yang Twins,4:19,Rap
300,2000,Who Let The Dogs Out,Baha Men,3:17,R&B
301,2000,Whoa!,Black Rob,4:04,Rap
302,2000,Wifey,Next,4:03,Rock
303,2000,With Arms Wide Open,Creed,3:52,Rock
304,2000,Without You,"Dixie Chicks, The",3:32,Country
305,2000,Wobble Wobble,504 Boyz,3:35,Rap
306,2000,Wonderful,Everclear,4:30,Rock
307,2000,Yes!,"Brock, Chad",3:22,Country
308,2000,You Can Do It,Ice Cube,4:20,Rap
309,2000,You Owe Me,Nas,3:51,R&B
310,2000,You Sang To Me,"Anthony, Marc",3:50,Latin
311,2000,You Should've Told Me,"Price, Kelly",3:12,Rock
312,2000,You Won't Be Lonely Now,"Cyrus, Billy Ray",3:45,Country
313,2000,You'll Always Be Loved By Me,Brooks & Dunn,2:58,Country
314,2000,You're A God,Vertical Horizon,3:45,Rock
315,2000,Your Everything,"Urban, Keith",4:10,Country
316,2000,www.memory,"Jackson, Alan",2:36,Country
